date,open,high,low,close,volume,average,barCount
2025-08-27,228.61,230.91,228.29,230.47,-1.0,-1.0,-1
2025-08-28,230.78,233.41,229.33,232.49,-1.0,-1.0,-1
2025-08-29,232.68,233.36,231.35,232.24,-1.0,-1.0,-1
2025-09-02,229.46,230.79,226.96,229.68,-1.0,-1.0,-1
2025-09-03,237.21,238.7,234.36,238.49,-1.0,-1.0,-1
2025-09-04,238.46,239.9,236.74,239.72,-1.0,-1.0,-1
2025-09-05,240.0,241.32,238.49,239.64,-1.0,-1.0,-1
2025-09-08,239.36,240.15,236.34,237.91,-1.0,-1.0,-1
2025-09-09,237.0,238.79,233.36,234.35,-1.0,-1.0,-1
2025-09-10,232.18,232.36,225.95,226.81,-1.0,-1.0,-1
2025-09-11,226.84,230.45,226.66,230.04,-1.0,-1.0,-1
2025-09-12,229.25,234.52,229.02,234.06,-1.0,-1.0,-1
2025-09-15,237.06,238.2,235.02,236.74,-1.0,-1.0,-1
2025-09-16,237.17,241.22,236.32,238.13,-1.0,-1.0,-1
2025-09-17,238.97,240.1,237.73,238.98,-1.0,-1.0,-1
2025-09-18,239.98,241.16,236.65,237.92,-1.0,-1.0,-1
2025-09-19,241.31,246.26,240.22,245.28,-1.0,-1.0,-1
2025-09-22,248.38,256.63,248.13,256.13,-1.0,-1.0,-1
2025-09-23,255.88,257.33,253.58,254.51,-1.0,-1.0,-1
2025-09-24,255.23,255.72,251.03,252.23,-1.0,-1.0,-1
2025-09-25,253.21,257.17,251.71,256.94,-1.0,-1.0,-1
2025-09-26,254.08,257.35,253.79,255.47,-1.0,-1.0,-1
2025-09-29,254.49,254.85,253.0,254.35,-1.0,-1.0,-1
2025-09-30,254.86,255.92,253.1,254.56,-1.0,-1.0,-1
2025-10-01,255.03,258.79,254.97,255.42,-1.0,-1.0,-1
2025-10-02,256.58,258.17,254.15,257.13,-1.0,-1.0,-1
2025-10-03,254.66,259.24,253.97,258.02,-1.0,-1.0,-1
2025-10-06,258.0,259.07,255.04,256.64,-1.0,-1.0,-1
2025-10-07,256.84,257.4,255.43,256.45,-1.0,-1.0,-1
2025-10-08,256.53,258.52,256.12,258.04,-1.0,-1.0,-1
2025-10-09,257.81,257.99,253.14,254.04,-1.0,-1.0,-1
2025-10-10,255.01,256.38,244.65,245.27,-1.0,-1.0,-1
2025-10-13,249.2,249.7,245.57,247.58,-1.0,-1.0,-1
2025-10-14,246.6,248.85,244.73,247.83,-1.0,-1.0,-1
2025-10-15,249.49,251.82,247.47,249.42,-1.0,-1.0,-1
2025-10-16,248.25,249.04,245.12,247.43,-1.0,-1.0,-1
