date,open,high,low,close,volume,average,barCount
2025-08-29,347.26,348.67,331.71,333.98,-1.0,-1.0,-1
2025-09-02,328.16,333.3,325.67,329.37,-1.0,-1.0,-1
2025-09-03,335.16,343.33,328.52,334.07,-1.0,-1.0,-1
2025-09-04,336.14,338.89,331.49,338.58,-1.0,-1.0,-1
2025-09-05,348.08,355.87,344.69,350.81,-1.0,-1.0,-1
2025-09-08,354.66,358.43,344.83,346.42,-1.0,-1.0,-1
2025-09-09,348.39,350.75,343.84,347.0,-1.0,-1.0,-1
2025-09-10,350.6,356.31,346.08,347.8,-1.0,-1.0,-1
2025-09-11,350.2,368.92,347.62,368.8,-1.0,-1.0,-1
2025-09-12,370.85,396.63,370.3,396.0,-1.0,-1.0,-1
2025-09-15,423.2,425.62,402.45,410.19,-1.0,-1.0,-1
2025-09-16,414.47,423.24,411.47,421.57,-1.0,-1.0,-1
2025-09-17,415.77,428.3,409.69,425.61,-1.0,-1.0,-1
2025-09-18,428.88,432.2,416.57,416.68,-1.0,-1.0,-1
2025-09-19,421.93,429.47,421.73,425.89,-1.0,-1.0,-1
2025-09-22,431.09,444.97,429.14,434.0,-1.0,-1.0,-1
2025-09-23,440.02,440.95,423.74,425.82,-1.0,-1.0,-1
2025-09-24,429.81,444.2,429.09,442.78,-1.0,-1.0,-1
2025-09-25,435.2,435.3,419.09,423.34,-1.0,-1.0,-1
2025-09-26,428.4,440.48,421.06,440.38,-1.0,-1.0,-1
2025-09-29,444.36,450.96,439.53,443.19,-1.0,-1.0,-1
2025-09-30,441.6,445.0,433.15,444.57,-1.0,-1.0,-1
2025-10-01,443.8,462.21,440.75,459.44,-1.0,-1.0,-1
2025-10-02,470.57,470.7,435.62,435.98,-1.0,-1.0,-1
2025-10-03,443.27,446.75,416.57,429.84,-1.0,-1.0,-1
2025-10-06,440.87,453.55,436.72,453.35,-1.0,-1.0,-1
2025-10-07,447.8,452.66,432.45,432.98,-1.0,-1.0,-1
2025-10-08,437.66,441.3,425.24,438.65,-1.0,-1.0,-1
2025-10-09,431.75,436.34,426.18,435.5,-1.0,-1.0,-1
2025-10-10,436.63,443.11,411.45,413.25,-1.0,-1.0,-1
2025-10-13,423.56,436.89,419.74,435.81,-1.0,-1.0,-1
2025-10-14,426.74,434.2,417.9,429.2,-1.0,-1.0,-1
2025-10-15,435.0,440.51,426.36,435.15,-1.0,-1.0,-1
2025-10-16,434.76,439.35,421.36,428.59,-1.0,-1.0,-1
2025-10-17,425.72,441.45,423.63,439.34,-1.0,-1.0,-1
2025-10-20,443.9,449.81,440.62,447.35,-1.0,-1.0,-1
2025-10-21,445.74,449.28,442.06,442.5,-1.0,-1.0,-1
2025-10-22,443.45,445.5,429.01,438.71,-1.0,-1.0,-1
2025-10-23,420.1,449.38,413.92,449.03,-1.0,-1.0,-1
2025-10-24,446.95,451.7,430.18,433.59,-1.0,-1.0,-1
2025-10-27,439.95,460.15,438.73,452.38,-1.0,-1.0,-1
2025-10-28,454.78,467.0,451.66,460.54,-1.0,-1.0,-1
2025-10-29,462.6,465.71,452.67,461.56,-1.0,-1.0,-1
2025-10-30,450.95,455.04,439.62,440.03,-1.0,-1.0,-1
2025-10-31,446.79,457.72,443.7,456.51,-1.0,-1.0,-1
2025-11-03,455.84,474.02,453.84,468.39,-1.0,-1.0,-1
2025-11-04,454.49,460.23,443.81,444.22,-1.0,-1.0,-1
